Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Total Gifted Subs,Gifted Tier 1 subs
Fri Feb 26 2021,0,0,5.15,158,8,8,1,2,0,21,7,1036,201,15,0,0,0,0,0.006999999999999999,0,0,0,0,0,0,0,0
Sat Feb 27 2021,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Feb 28 2021,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 01 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Mar 02 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Mar 03 2021,0,0,6.7,376,10,1,0,0,0,44,10,1413,212,26,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0
Thu Mar 04 2021,0,0,0,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0
Fri Mar 05 2021,0,0,6.31,396,15,4,1,0,0,76,12,1665,264,41,0,0,0,0,0.059500000000000004,0,0,0,0,0,0,0,0
Sat Mar 06 2021,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Mar 07 2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0
Mon Mar 08 2021,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Mar 09 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Mar 10 2021,0,0,6.77,436,12,5,0,1,0,33,12,1333,197,22,0,0,0,0,0.0175,0,0,0,0,0,0,0,0
Thu Mar 11 2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.375,0,12.18,0,0.0315,0,0,0,0,1,1,5,5
Fri Mar 12 2021,0,0,9.7,658,21,0,0,4,2.24,62,22,2007,207,43,0,0,0,0,0.0385,0,0,0,0,0,0,0,0
Sat Mar 13 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0
Sun Mar 14 2021,0.5,8.41,7.44,304,15,0,1,5,32.41,79,12,1592,214,36,0,0,0,0.05,0.0805,0,0,0,0,0,0,0,0
Mon Mar 15 2021,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.006999999999999999,0,0,0,0,0,0,0,0
Tue Mar 16 2021,0,0,5.94,365,16,1,0,3,0,37,10,951,159,24,0,0,0,0,0.0315,0,0,0,0,0,0,0,0
Wed Mar 17 2021,0,0,6.55,453,16,0,0,0,0,43,11,1389,211,23,1.61,0,14.28,0.62,0.0245,0,0,0,0,1,1,6,6
